title,addr,areacode,sigungucode,contentid,mapx,mapy,is_outdoor,tag
폴햄 롯데팩토리 가산,서울 금천구 벚꽃로 278 (가산동),1,8,3305279,126.8846459,37.47954323,0,4
폴햄 모다아울렛,경기 광주시 초월읍 경충대로 907 3층,31,5,3305804,127.3126047,37.36335329,0,4
폴햄 모다아울렛 인천점,인천 서구 북항로32번안길 50 (원창동),2,7,3305843,126.6477389,37.5099716,0,4
폴햄 스타필드고양,"경기 고양시 덕양구 고양대로 1955,2116호,2241호(동산동, 스타필드고양)",31,2,2910462,126.894793,37.6470295,0,4
폴햄 이시아폴리스,대구 동구 팔공로49길 16 (봉무동),4,4,2924533,128.6373909,35.92158992,0,4
폴햄 현대가든파이브,서울 송파구 충민로 66,1,18,2926812,127.1249769,37.4776672,0,4
폴햄 현대동대문,"서울 중구 장충단로13길 20, 5층(을지로6가, 현대시티아울렛 동대문점)",1,24,2906143,127.0076822,37.56878784,0,4
폴햄뉴코아아울렛울산,울산 남구 삼산로217,7,2,2916184,129.3308714,35.53833222,0,4
폴햄키즈,서울 중구 장충단로13길 20 (을지로6가),1,24,3305763,127.0076822,37.56878784,0,4
폴햄키즈 2001아울렛 중계,서울 노원구 동일로204가길 46 (중계동),1,9,3305989,127.0679274,37.6413416,0,4
폴햄키즈 nc신구로,서울 구로구 구로중앙로 152 (구로동),1,7,3306991,126.8827871,37.5012129,0,4
폴햄키즈 뉴코아 평촌,경기 안양시 동안구 동안로 119 (호계동),31,17,3306195,126.9516812,37.38934656,0,4
폴햄키즈 모다아울렛 인천점,인천 서구 북항로32번안길 50 (원창동),2,7,3307741,126.6477389,37.5099716,0,4
폴햄키즈 모다아울렛 춘천점,"강원 춘천시 방송길 77 (온의동, 춘천 센트럴타워 푸르지오)",32,13,3306814,127.7198947,37.86923539,0,4
폴햄키즈 화정점,경기 고양시 덕양구 세이브존,31,2,2930037,126.8313936,37.63441039,0,4
"표선 5일시장 (2, 7일)",제주 서귀포시 표선면 표선동서로 203-1,39,3,132160,126.8304061,33.32254373,1,4
푸 르네시떼,부산 사상구 광장로 7 르네시떼 2층 2469호,6,9,2913953,128.9775987,35.16355659,0,4
푸마,서울 영등포구 영중로 9 (영등포동4가),1,20,3306342,126.9055902,37.51723089,0,4
푸마,"서울 구로구 경인로 662 (신도림동, 디큐브시티)",1,7,3306379,126.888417,37.50891489,0,4
푸마,서울 성북구 동소문로 315 (길음동),1,17,3306429,127.028793,37.60845306,0,4
푸마,제주 제주시 신광로 64 (연동),39,4,3306603,126.4897569,33.48653683,0,4
푸마 광복,부산 중구 광복로 74,6,15,2931364,129.0328984,35.09855655,0,4
푸마 뉴코아 평촌,경기 안양시 동안구 동안로 119 (호계동),31,17,3305395,126.9516812,37.38934656,0,4
푸마 롯데아울렛 동부산점,부산 기장군 기장해안로 147,6,3,2925636,129.212808,35.19225217,0,4
푸마 모다아울렛인천점,인천 서구 북항로32번안길 50 (원창동),2,7,3306563,126.6477389,37.5099716,0,4
푸마 신세계아울렛 부산점,부산 기장군 장안읍 정관로 1133,6,3,2922679,129.2349941,35.32385172,0,4
푸마 신세계아울렛 파주점,경기 파주시 필승로 200 966호,31,27,2922665,126.6965244,37.76940615,0,4
풋마트(여수),전남 여수시 진남상가길 46-2(충무동),38,13,2905070,127.7318546,34.74118443,0,4
풋온코리아 두타,서울 중구 장충단로 275,1,24,2902479,127.0088293,37.56891007,0,4
풋조이 신제주,제주 제주시 연북로 76,39,4,2912430,126.4894099,33.48157904,0,4
풋조이_도산점,서울 강남구 언주로 807,1,1,2894094,127.0331117,37.52249645,0,4
"풍각장 (1, 6일)",경북 청도군 풍각면 송서5길 10-1,35,20,132359,128.5840563,35.63558794,1,4
풍기인삼시장,경북 영주시 풍기읍 인삼로 8,35,14,132535,128.5236182,36.87302938,1,4
"풍기장 (3, 8일)",경북 영주시 풍기읍 기주로 102,35,14,132118,128.5248626,36.87050191,1,4
풍납도깨비시장,서울 송파구 바람드리길 37-1,1,18,2758811,127.1201562,37.53755183,1,4
풍림하나로쇼핑센터,인천 미추홀구 토금중로 13,2,3,2779536,126.6357054,37.45393068,0,4
